index,fips,county,state,ST,ave_temp,precip_ave,tot_ha,sand,silt,clay,yield_Mg,dSOC_MgC,dN2ON_kgN,iN2ON_kgN,kgCH4_ox,ghg_MgCO2e,yield_Mg_ha,dSOC_MgC_ha,dN2ON_kgN_ha,iN2ON_kgN_ha,kgCH4_ox_ha,ghg_MgCO2e_ha
20,1041,Crenshaw,Alabama,AL,18.84884604,136.2143382,24592.34102,69.63848124,18.54037286,11.82114588,553830.0887,-4042.629439,30632.754,10976.81031,47236.50512,30813.67533,22.52042977,-0.16438571,1.245621715,0.446350768,1.920781152,1.252978531
21,1043,Cullman,Alabama,AL,16.89907238,130.1084291,31446.49308,52.83640384,32.10254063,15.06105553,628617.0227,-2582.71784,34357.43676,12943.94966,58222.54366,27526.61833,19.99005171,-0.082130552,1.09256815,0.411618225,1.851479703,0.875347793
22,1045,Dale,Alabama,AL,19.55352192,128.7522271,27211.39565,77.72954586,12.74787671,9.522577425,624434.4672,-4886.655895,32058.96231,12362.33577,44264.74626,35160.09332,22.94753548,-0.17958123,1.178144727,0.454307303,1.626698859,1.292109151
23,1047,Dallas,Alabama,AL,18.54547213,131.3134194,58681.53269,44.18472158,31.43338432,24.38189384,1274174.07,-4856.753768,112427.5425,21192.99787,107584.3465,70415.10035,21.71337407,-0.082764603,1.915893082,0.361152766,1.833359518,1.199953327
24,1049,DeKalb,Alabama,AL,15.7519608,127.992562,29072.41823,53.87506127,32.22501707,13.89992165,595720.6972,-2441.855977,34727.03477,11390.75987,51232.12277,26713.44341,20.49092348,-0.083992187,1.194501073,0.391806412,1.762224331,0.918858665
25,1051,Elmore,Alabama,AL,18.2541169,127.0255737,23496.59089,64.53093237,22.92268968,12.54637796,487811.9495,-3202.285051,26985.71222,9946.11707,43652.6867,25887.40745,20.76096706,-0.13628722,1.14849479,0.423300432,1.857830649,1.101751636
26,1053,Escambia,Alabama,AL,19.53999626,150.4896039,10020.79644,65.45571522,24.19736918,10.3469156,232981.9581,-1634.041711,12078.81153,4679.351942,17892.95948,12463.372,23.24984442,-0.163065054,1.205374404,0.466964075,1.785582573,1.243750642
27,1055,Etowah,Alabama,AL,16.6592701,125.0065731,18743.94335,45.97079767,37.61344621,16.41575613,405888.3299,-1291.560549,23455.86615,6972.854488,36184.37708,16387.98822,21.65437243,-0.068905487,1.251383752,0.372005739,1.930457023,0.874308459
28,1057,Fayette,Alabama,AL,17.44358084,136.4363365,10740.47356,52.0548273,34.80362501,13.14154769,233939.7317,-840.3170853,11918.41057,4392.351408,21202.53566,9276.178173,21.78113753,-0.078238365,1.109672726,0.408953235,1.974078288,0.863665659
29,1059,Franklin,Alabama,AL,16.80885944,131.9807513,21200.51181,49.87229977,33.33196434,16.79573589,452472.5485,-1640.485108,29060.10743,8649.715393,35828.76678,20707.86421,21.34252949,-0.077379505,1.370726692,0.407995593,1.689995369,0.976762467
30,1061,Geneva,Alabama,AL,19.95347659,135.8506254,30001.5749,69.10792195,19.55324514,11.33883291,649616.258,-5134.383765,34816.36776,14093.93034,57053.33476,37578.6678,21.65273857,-0.171137141,1.16048467,0.469773016,1.901677994,1.252556505
31,1063,Greene,Alabama,AL,18.09077162,133.6006516,10634.29902,40.63266692,34.4054855,24.96184758,242472.8282,-766.0846682,19812.91546,3942.518602,19618.13853,12148.08976,22.80101657,-0.072039038,1.863114383,0.370736105,1.844798467,1.142349838
32,1065,Hale,Alabama,AL,18.3360732,132.8570342,26271.80497,34.45561525,38.48721243,27.05717232,593097.2079,-1024.989074,44532.89484,9452.518802,51254.76416,24796.95855,22.57542672,-0.039014795,1.695083185,0.359797083,1.950941864,0.943862006
33,1067,Henry,Alabama,AL,19.48404153,123.9775158,29335.57885,75.81437932,13.94221144,10.24340923,656284.6535,-5166.345472,36116.04425,13153.20959,53710.54838,37938.82423,22.37162788,-0.176111932,1.231134536,0.448370549,1.830901264,1.293270006
34,1069,Houston,Alabama,AL,19.98026255,130.4633246,30520.42226,77.47543119,12.30596201,10.21860681,663442.9856,-5596.225242,35999.57247,14191.93493,55108.06156,39858.77246,21.73767387,-0.18336002,1.179524063,0.464997987,1.805612684,1.305970544
35,1071,Jackson,Alabama,AL,15.5063754,129.4122076,14276.35713,42.40513184,37.44283028,20.15203788,311653.3947,-1669.920046,21588.19896,5833.78553,24890.55402,16838.71153,21.83003633,-0.116971019,1.512164397,0.408632642,1.743480764,1.17948237
36,1073,Jefferson,Alabama,AL,17.41701348,128.4020239,7006.958061,39.57243321,42.07578176,18.35178502,155849.1648,-179.515505,7866.065401,2827.478824,13457.1053,4733.143204,22.2420576,-0.025619606,1.122607747,0.403524439,1.920534586,0.67549187
37,1075,Lamar,Alabama,AL,17.56061534,137.4610122,9971.206609,56.15897636,31.24181606,12.59919466,229298.9694,-860.6940768,11109.22913,4012.220826,20124.4493,8885.864815,22.99611054,-0.086317946,1.114130874,0.402380673,2.018256174,0.891152412
38,1077,Lauderdale,Alabama,AL,16.1191627,128.1061804,29517.70341,22.79903145,56.92284795,20.2781206,671860.046,-1463.152097,43778.54603,10782.47229,59366.02545,26414.94716,22.76125743,-0.049568629,1.483128461,0.36528832,2.011200689,0.894884903
39,1079,Lawrence,Alabama,AL,16.75233109,128.9809998,26033.09626,27.81856703,48.81618687,23.3652461,580925.3206,-681.6100609,43378.18093,9324.387852,49905.75305,23042.46622,22.31487622,-0.026182443,1.666270523,0.35817437,1.917011813,0.885122
40,1081,Lee,Alabama,AL,18.46457699,122.533727,25226.10305,69.81376665,19.64012569,10.54610766,548769.1936,-4311.660012,32205.72837,11240.47324,45410.00612,32615.2328,21.75402171,-0.170920574,1.276682661,0.445588969,1.800119742,1.292916022
41,1083,Limestone,Alabama,AL,16.27104755,128.9616539,28791.37528,16.01348581,61.53196516,22.45454903,667291.1177,-1823.918677,45644.6953,10535.31681,57195.91508,28471.63734,23.17677121,-0.063349481,1.58536002,0.365919193,1.986564189,0.988894663
42,1085,Lowndes,Alabama,AL,18.58197162,131.1306962,44094.26764,29.70411992,43.30354651,26.99233358,1045740.449,-2620.606125,86570.42086,17318.10106,85821.3798,50452.35818,23.71601809,-0.0594319,1.963303293,0.392751756,1.946316027,1.144193132
43,1087,Macon,Alabama,AL,18.56194442,124.5371608,31579.7522,64.36760274,21.3598073,14.27258938,690540.1154,-3894.634295,47265.11404,12705.43207,54770.58918,37704.93243,21.86654636,-0.123326943,1.496690466,0.402328428,1.734357788,1.193959097
44,1089,Madison,Alabama,AL,16.01596093,125.8720008,36524.17638,21.20784326,54.85908224,23.9330745,825448.3367,316.2782908,57400.60597,13006.3985,69729.51433,26202.20573,22.6000534,0.008659423,1.571578381,0.356103814,1.909133107,0.717393473
45,1091,Marengo,Alabama,AL,18.5330788,134.0817947,33485.48057,41.08397979,31.14855939,27.7674595,761329.1664,-2583.164169,68279.93907,11842.13184,56945.31855,41228.69254,22.73609796,-0.077142813,2.039090911,0.35364975,1.700597321,1.231240879
46,1093,Marion,Alabama,AL,17.09900482,136.0170207,17202.70407,54.40975436,34.17040479,11.41984085,369377.4309,-1302.442433,19347.06933,6895.197641,33863.68825,14749.83686,21.47205633,-0.075711494,1.124652802,0.400820569,1.968509608,0.857413857
47,1095,Marshall,Alabama,AL,16.35718703,126.365608,26069.26897,58.35666333,25.83014781,15.81318886,549440.3377,-2722.654901,30737.96928,10362.07027,48135.12632,25739.91346,21.07616974,-0.10443925,1.179088271,0.397482196,1.846431765,0.987366139
48,1097,Mobile,Alabama,AL,20.01269675,148.0327078,9471.618919,73.74743541,17.92630711,8.32625748,221541.7357,-1812.294495,11119.34607,4608.619767,16118.50154,12737.26933,23.39006009,-0.191339465,1.17396468,0.486571494,1.701768375,1.344782707
49,1099,Monroe,Alabama,AL,19.08842388,141.1161163,17786.39958,62.12055213,25.23521456,12.64423332,405322.5727,-2172.937145,22150.75515,7861.040115,25932.68324,19730.86643,22.7883429,-0.122168466,1.245375999,0.441969162,1.458006333,1.109323241
50,1101,Montgomery,Alabama,AL,18.5761448,129.0944229,47768.73795,29.58904584,36.31307935,34.09787524,1069330.578,-2251.423304,110049.229,16359.18235,82458.21177,58569.82778,22.38557315,-0.047131731,2.303791847,0.342466288,1.726196155,1.226112104
51,1103,Morgan,Alabama,AL,16.79696478,128.5297487,33628.70155,39.38970974,40.65530663,19.95498363,741130.9638,-1855.208737,46725.90731,12557.02578,63764.01468,29694.25993,22.03864347,-0.055167421,1.389465105,0.373402041,1.896118843,0.883003463
52,1105,Perry,Alabama,AL,18.38297827,132.1311276,22421.85837,33.45796117,36.14453305,30.39750565,505912.4397,-871.4586061,46161.6557,7713.97404,40320.84335,24494.85599,22.56335899,-0.038866475,2.058779202,0.344038122,1.798282848,1.092454318
53,1107,Pickens,Alabama,AL,17.91709249,134.525865,10976.9449,50.74447002,30.74126552,18.51426447,247073.788,-849.792104,17695.95958,4025.486891,19805.08643,11602.72674,22.50842928,-0.077416085,1.612102433,0.366721973,1.80424395,1.057008744
54,1109,Pike,Alabama,AL,19.08334783,130.5497047,33557.84487,72.37642196,15.93248959,11.69108845,762489.3931,-5290.67631,40191.68394,14655.1674,59378.72098,40557.8669,22.72164366,-0.157658405,1.197683704,0.436713605,1.769443813,1.208595697
55,1111,Randolph,Alabama,AL,17.45423273,123.3515642,27510.76313,57.22701997,26.2214333,16.55154673,571160.3206,-3843.996354,34166.66486,11840.56763,50087.28155,31836.99073,20.7613405,-0.139726998,1.241938099,0.430397644,1.820643118,1.15725582
56,1113,Russell,Alabama,AL,18.71536064,119.0538636,25796.93368,67.83402487,19.62866939,12.53730537,573344.4131,-3476.274463,35968.21065,10233.36404,46897.78011,30659.85556,22.22529313,-0.134755336,1.394282401,0.396689163,1.817959479,1.188507748
57,1115,St. Clair,Alabama,AL,17.1487526,127.1796218,16164.43829,45.72708928,35.54867828,18.72423244,365716.2044,-1297.807245,20530.87982,6340.21374,32249.17952,15039.86733,22.62473943,-0.080287803,1.2701264,0.392232234,1.995069606,0.93042932
58,1117,Shelby,Alabama,AL,17.63711967,129.0195671,12594.67771,33.42484071,47.54019411,19.03496518,291073.157,-546.9765396,17110.85174,4667.366552,26246.14745,10336.47983,23.11080631,-0.043429181,1.358577975,0.370582452,2.083907827,0.82070221
59,1119,Sumter,Alabama,AL,18.23924706,135.4594657,23530.46862,37.25239302,36.92444174,25.82316524,488513.6097,-1362.795008,38112.23213,9124.401108,39829.52367,23544.79538,20.76089591,-0.057916186,1.619697114,0.38776963,1.692678727,1.00060886
60,1121,Talladega,Alabama,AL,17.52674486,126.4179383,24426.75292,32.08057258,45.29550637,22.62392105,541834.8901,-1251.735098,32662.43326,9024.386645,47684.75135,20607.29071,22.18202689,-0.051244433,1.337158212,0.369446839,1.952152687,0.843636106
61,1123,Tallapoosa,Alabama,AL,18.05850394,125.9086636,10446.90313,62.09190883,23.58299877,14.3250924,227298.9014,-1681.045394,15270.86989,4541.736537,20376.57575,13837.75224,21.75753891,-0.160913275,1.461760456,0.434744774,1.950489585,1.324579358
62,1125,Tuscaloosa,Alabama,AL,17.91771085,132.8500078,20091.45107,49.92680275,37.15005453,12.92314272,419997.7878,-1399.231914,23948.39089,8005.029681,41675.40026,17263.5525,20.90430335,-0.069643149,1.191969202,0.398429643,2.074285233,0.859248665
63,1127,Walker,Alabama,AL,17.32095561,132.313259,15884.61488,46.95256453,37.48604997,15.5613855,308600.1199,-960.7421512,17720.03856,6596.26939,27358.3627,12878.11595,19.42761108,-0.060482559,1.115547257,0.415261524,1.722318288,0.810728875
64,1129,Washington,Alabama,AL,19.01,145.49,0.90873,65.20937308,27.28702189,7.503605031,19.74942055,-0.146599779,1.043133417,0.403923821,1.686338643,1.092405385,21.7329906,-0.161323802,1.147902476,0.444492667,1.855709224,1.202123166
65,1131,Wilcox,Alabama,AL,18.73636669,134.135026,31339.69094,40.96277926,34.72622066,24.31100007,709652.9374,-2362.064339,58171.89611,11380.3919,58734.48979,35967.81343,22.6439035,-0.075369739,1.856173254,0.363130317,1.874124729,1.147676073
66,1133,Winston,Alabama,AL,16.8920403,133.769938,8915.471524,54.28483652,33.83589024,11.87927324,199108.5411,-764.9578496,10610.52862,3584.84061,16406.16205,8253.626145,22.33292323,-0.085801166,1.190125345,0.402092094,1.840190057,0.9257644
67,5001,Arkansas,Arkansas,AR,17.85764417,120.5238016,284.161326,27.29512802,57.36225329,15.34261868,5964.626218,45.21776506,386.4071443,88.70799265,577.4650407,15.96153579,20.99028148,0.159127091,1.359816094,0.312174756,2.032173234,0.056170683
68,5003,Ashley,Arkansas,AR,18.67862883,131.5439237,1726.405867,24.4327451,61.05703515,14.51021975,36626.31306,233.8683313,2148.307715,560.4762527,3711.008,166.9690811,21.21535484,0.135465441,1.244381612,0.324649182,2.149557106,0.096714848
69,5005,Baxter,Arkansas,AR,15.49456142,106.6494121,1236.444209,30.96677093,50.67945572,18.35377335,27484.43101,-19.27836707,1738.063175,428.3755133,1814.199224,921.8220018,22.22860587,-0.015591781,1.405694783,0.346457616,1.467271398,0.745542739
70,5007,Benton,Arkansas,AR,15.17943959,113.1569593,11791.95885,24.56445411,57.85110207,17.58444382,247604.2389,426.0416182,14535.70006,4167.31844,21266.05766,5630.388184,20.99771904,0.036129843,1.232679001,0.353403408,1.803437234,0.477476919
71,5009,Boone,Arkansas,AR,15.0096649,106.1054049,4620.419623,31.43415914,50.74724271,17.81859815,103324.4823,3.926081015,5906.027472,1641.638875,5826.248043,2964.901003,22.36257542,0.000849724,1.278244825,0.355300819,1.260978118,0.64169518
72,5011,Bradley,Arkansas,AR,18.23684106,130.032698,4603.037121,41.09703655,44.97688292,13.92608053,104493.8135,-40.40938828,5987.971801,1647.57576,9328.874577,3065.863955,22.70105817,-0.008778853,1.300874106,0.357932321,2.026678111,0.666052407
73,5013,Calhoun,Arkansas,AR,18.04718446,128.5013378,1001.441932,55.20937,33.28622966,11.50440034,22485.85215,-65.34142744,1159.566487,371.5713033,2109.816356,817.8190862,22.45347577,-0.065247345,1.157896878,0.371036294,2.106778524,0.816641545
74,5015,Carroll,Arkansas,AR,14.73859805,108.1552503,5530.269946,34.76851043,47.83774222,17.39374735,122527.7724,-352.4583982,7996.814001,2044.868315,5934.012548,5306.064157,22.15583934,-0.063732585,1.446007894,0.369759222,1.073005948,0.959458437
75,5017,Chicot,Arkansas,AR,18.72052568,129.7781639,1030.443243,16.26028588,52.09559682,31.6441173,22196.77685,144.0424783,2347.479432,267.5880722,1774.51277,511.2998436,21.54099898,0.139786911,2.278125891,0.259682495,1.722086861,0.496194086
76,5019,Clark,Arkansas,AR,17.71230612,132.8025536,2511.59315,37.25062975,40.03200081,22.71736944,57715.50489,-99.54771273,4480.455684,909.6977729,4443.053051,2484.49811,22.97963939,-0.039635286,1.78390982,0.362199496,1.769017825,0.989212011
77,5021,Clay,Arkansas,AR,16.14380718,114.9233745,2448.16112,11.61149855,74.15773893,14.23076252,49599.82967,867.5287183,3270.887875,601.8387029,4890.682826,-1703.230326,20.26003488,0.354359324,1.336059072,0.245832963,1.99769647,-0.695718232
78,5023,Cleburne,Arkansas,AR,16.49173777,118.5172066,4911.845654,62.93056202,23.55118679,13.51825119,101550.7331,-76.31227354,5059.351116,1934.340601,8177.659331,2962.415767,20.67465884,-0.015536374,1.030030557,0.393811357,1.66488524,0.603116624
79,5025,Cleveland,Arkansas,AR,17.83858905,128.3907218,130.060622,47.88968601,40.8143384,11.2959756,2742.748435,-6.474806603,163.8734876,47.63019459,262.6065526,104.4292528,21.08823096,-0.04978299,1.259977733,0.366215338,2.019108848,0.802927521
80,5027,Columbia,Arkansas,AR,18.50845969,128.7442906,4707.539467,52.16189331,37.12057435,10.71753233,107889.5093,-270.1276795,5932.655987,1819.931884,9799.649442,3943.112354,22.9184503,-0.057381926,1.260245619,0.38659939,2.081692466,0.83761642
81,5029,Conway,Arkansas,AR,16.66753026,119.0058164,14660.16961,49.92981108,35.3663774,14.70381152,319521.0302,-361.4309316,18079.86009,5442.105332,26906.24077,10364.14503,21.79517964,-0.024653939,1.233264046,0.371217079,1.835329433,0.706959422
82,5031,Craighead,Arkansas,AR,16.57060282,113.3316849,7636.124782,12.24186572,74.25413359,13.50400068,157516.0539,1546.030588,11223.02773,2047.411662,15410.09187,-571.1679099,20.6277475,0.202462719,1.469728174,0.268121818,2.018051343,-0.074798137
83,5033,Crawford,Arkansas,AR,16.76756777,115.8393665,3576.375965,50.58974688,35.41029337,13.99995974,74927.31476,-33.21546458,3693.501306,1230.406069,6903.121963,1978.452484,20.95062585,-0.009287464,1.032749728,0.344037115,1.930200301,0.553200364
84,5035,Crittenden,Arkansas,AR,16.95843683,122.9961376,312.133259,15.90490771,52.00422686,32.09086543,6961.105028,31.47698201,767.2498202,87.60539016,503.7932923,226.4736568,22.30170873,0.100844691,2.458084161,0.280666631,1.614032718,0.725567207
85,5037,Cross,Arkansas,AR,16.92807697,114.4804003,2320.542054,12.52836073,73.29536453,14.17627474,47347.20985,743.7129212,3311.250488,596.0075375,4654.384787,-1228.568784,20.40351295,0.320491034,1.426929748,0.256839792,2.005731712,-0.529431812
86,5041,Desha,Arkansas,AR,18.2892693,125.3813599,452.42347,14.61393517,42.95760785,42.42845698,9762.802762,62.22967025,1468.706755,96.37433088,481.5896181,410.113609,21.5789043,0.137547396,3.246309824,0.213017974,1.064466479,0.906481728
87,5043,Drew,Arkansas,AR,18.29098614,128.3099789,5972.432644,18.89814988,65.79488687,15.30696326,128240.3614,970.2213645,7825.90503,1764.502721,12239.71081,95.24410674,21.47204817,0.162449947,1.31033793,0.295441209,2.049367744,0.015947289
88,5045,Faulkner,Arkansas,AR,16.79731699,118.7488535,14736.52216,44.51645542,40.70019993,14.78334465,293513.5109,-155.0791473,17269.3901,5532.176286,25692.84597,9342.101777,19.91742066,-0.010523456,1.171876913,0.375405827,1.743480971,0.633942098
89,5047,Franklin,Arkansas,AR,16.66063693,118.2275447,3285.137404,43.95584269,42.35072595,13.69343136,62770.75385,411.8917107,3342.35938,1215.083863,5653.710203,229.9625951,19.10749723,0.12538036,1.017418442,0.369873072,1.72099657,0.070000906
90,5049,Fulton,Arkansas,AR,15.61986932,112.2041513,7485.153664,31.18119569,52.32060607,16.49819824,174937.0317,-543.9042637,10596.34379,2766.335552,6937.108503,7362.121526,23.37120113,-0.072664409,1.415648131,0.369576321,0.926782377,0.983563178
91,5051,Garland,Arkansas,AR,17.24096348,132.0911877,2756.5312,39.67835744,45.05587739,15.26576517,59458.27529,16.14072796,3130.493988,1138.480304,5189.180131,1572.921817,21.56996275,0.005855449,1.135664268,0.413011942,1.882503681,0.570616366
92,5053,Grant,Arkansas,AR,17.48584421,126.4493789,2283.059545,53.52301958,34.18947845,12.28750197,52206.49763,-72.73561367,2707.51188,822.1971231,4579.876203,1607.842142,22.86690145,-0.031858833,1.185913826,0.360129513,2.006025735,0.704248886
93,5055,Greene,Arkansas,AR,16.35352809,114.546683,3826.274437,10.15147988,75.7882423,14.06027782,78946.23992,780.4407081,5928.138828,1063.60211,7678.192341,-163.6039225,20.63266533,0.203968827,1.549324003,0.277973294,2.006701941,-0.042758021
94,5057,Hempstead,Arkansas,AR,18.12203209,127.5081268,15253.62949,45.72098407,33.01110891,21.26790702,351309.83,-1103.922604,27280.23549,5430.170575,30043.0077,16822.39501,23.03122874,-0.072371143,1.788442253,0.355992033,1.969564537,1.102845393
95,5059,Hot Spring,Arkansas,AR,17.48821018,131.9503917,2626.865454,43.15674591,42.38998416,14.45326993,60294.79211,-109.1132499,3443.442814,1029.146387,4915.62908,2124.292809,22.95313299,-0.041537434,1.31085618,0.39177735,1.871290771,0.808679716
96,5061,Howard,Arkansas,AR,17.96048111,128.6346508,5361.848068,54.40997786,26.70067003,18.88935211,115187.1505,-299.6782305,7761.079169,2091.415556,10088.8925,4917.570913,21.48273301,-0.055890847,1.447463462,0.390054983,1.881607306,0.91714104
97,5063,Independence,Arkansas,AR,16.47865471,115.8021219,5324.53875,31.99398414,52.77867911,15.22733675,108065.6479,794.4439864,6143.972214,1666.1516,9936.182028,62.59188112,20.29577639,0.149204283,1.153897549,0.312919424,1.866111319,0.011755362
98,5065,Izard,Arkansas,AR,16.06228844,112.9752306,5355.793352,64.93307774,23.6405232,11.42639907,112889.5454,-667.8074519,6477.394458,2067.383781,7114.780424,5805.233676,21.07802486,-0.124688801,1.209418294,0.386008878,1.328426987,1.083916666
99,5067,Jackson,Arkansas,AR,16.84158817,116.6727411,4088.429508,31.73587135,53.02561528,15.23851337,82745.39587,709.4194396,4505.921173,1255.131886,7997.917809,-424.719012,20.23891954,0.173518814,1.102115412,0.306996093,1.956232288,-0.103883169
100,5069,Jefferson,Arkansas,AR,17.56414417,120.5749802,7123.770785,34.12102773,52.18173244,13.69723983,148991.5172,748.3234434,9404.567733,2172.812111,13981.00428,1686.797518,20.91469837,0.105045974,1.320167088,0.305008706,1.962584803,0.236784362
101,5071,Johnson,Arkansas,AR,16.3506178,117.5727561,5143.25821,42.56048842,41.43614641,16.00336517,103809.9781,167.9183819,6136.993051,1858.919915,8780.437857,2467.930932,20.1836995,0.03264825,1.193211151,0.361428464,1.707174227,0.479838039
102,5073,Lafayette,Arkansas,AR,18.54195771,126.641282,2908.89422,32.78347908,46.87008654,20.34643437,66659.66738,-13.22863747,5255.066522,954.0860378,5387.641862,2482.75643,22.91581004,-0.004547652,1.806551261,0.327989251,1.852127116,0.85350523
103,5075,Lawrence,Arkansas,AR,16.23,115.9340311,1958.421274,26.18586895,59.48260788,14.33152317,37813.31801,384.5435351,2501.111333,596.9980047,3785.348801,-225.102077,19.3080613,0.196353839,1.277105884,0.304836356,1.932857272,-0.11494058
104,5077,Lee,Arkansas,AR,17.42803031,124.0873007,203.467515,10.96475498,72.75433012,16.2809149,4402.812391,52.94869765,311.9108518,55.77253926,391.6408488,-51.89047397,21.63889597,0.260231702,1.53297617,0.274110289,1.92483232,-0.255030755
105,5079,Lincoln,Arkansas,AR,17.86835429,124.6255583,3432.320836,37.02372966,48.18458145,14.79168888,73116.21814,405.0175625,4376.573253,1082.895982,6976.273445,593.6707019,21.30226795,0.118001079,1.275106105,0.315499638,2.0325237,0.172964804
106,5081,Little River,Arkansas,AR,18.30159615,121.9939507,1606.660927,18.94379503,52.67501752,28.38118745,36141.14826,189.1920628,3066.860171,447.6837636,2894.389403,689.003711,22.49457098,0.117754817,1.90884095,0.278642342,1.801493616,0.428842016
