"","fips","simyear","stover_removal","grainyield_bu_ac"
"1",17001,2011,"G",244.541601731602
"2",17001,2011,"G25S",244.541601731602
"3",17001,2011,"G50S",244.541601731602
"4",17001,2011,"G75S",244.541601731602
"5",17001,2013,"G",97.7450649350649
"6",17001,2013,"G25S",97.694658008658
"7",17001,2013,"G50S",97.694658008658
"8",17001,2013,"G75S",97.7198614718615
"9",17001,2015,"G",259.023004329004
"10",17001,2015,"G25S",259.023004329004
"11",17001,2015,"G50S",259.217515151515
"12",17001,2015,"G75S",259.242718614719
"13",17001,2017,"G",176.492008658009
"14",17001,2017,"G25S",176.68651948052
"15",17001,2017,"G50S",176.798303030303
"16",17001,2017,"G75S",176.873913419913
"17",17001,2019,"G",145.109402597403
"18",17001,2019,"G25S",145.152692640693
"19",17001,2019,"G50S",145.195982683983
"20",17001,2019,"G75S",145.296796536797
"21",17001,2021,"G",164.009064935065
"22",17001,2021,"G25S",164.084675324675
"23",17001,2021,"G50S",164.160285714286
"24",17001,2021,"G75S",164.246865800866
"25",17001,2023,"G",287.460121212121
"26",17001,2023,"G25S",287.380658008658
"27",17001,2023,"G50S",287.232701298701
"28",17001,2023,"G75S",287.073774891775
"29",17001,2025,"G",286.043696969697
"30",17001,2025,"G25S",286.119307359307
"31",17001,2025,"G50S",286.144510822511
"32",17001,2025,"G75S",286.259558441558
"33",17001,2027,"G",158.156614718615
"34",17001,2027,"G25S",158.131411255411
"35",17001,2027,"G50S",158.131411255411
"36",17001,2027,"G75S",158.131411255411
"37",17001,2029,"G",117.543437229437
"38",17001,2029,"G25S",117.543437229437
"39",17001,2029,"G50S",117.518233766234
"40",17001,2029,"G75S",117.568640692641
"41",17001,2031,"G",171.703134199134
"42",17001,2031,"G25S",171.721220779221
"43",17001,2031,"G50S",171.778744588745
"44",17001,2031,"G75S",171.803948051948
"45",17001,2033,"G",180.776545454545
"46",17001,2033,"G25S",180.801748917749
"47",17001,2033,"G50S",180.863125541126
"48",17001,2033,"G75S",180.906415584416
"49",17001,2035,"G",113.687359307359
"50",17001,2035,"G25S",113.662155844156
"51",17001,2035,"G50S",113.705445887446
"52",17001,2035,"G75S",113.705445887446
"53",17001,2037,"G",146.441012987013
"54",17001,2037,"G25S",146.559913419913
"55",17001,2037,"G50S",146.642640692641
"56",17001,2037,"G75S",146.768658008658
"57",17001,2039,"G",359.037506493507
"58",17001,2039,"G25S",357.750363636364
"59",17001,2039,"G50S",355.534865800866
"60",17001,2039,"G75S",350.885653679654
"61",17003,2011,"G",141.281675324675
"62",17003,2011,"G25S",141.281675324675
"63",17003,2011,"G50S",141.281675324675
"64",17003,2011,"G75S",141.289220779221
"65",17003,2013,"G",131.577489177489
"66",17003,2013,"G25S",131.737666666667
"67",17003,2013,"G50S",131.839337662338
"68",17003,2013,"G75S",131.932887445887
"69",17003,2015,"G",144.895346320346
"70",17003,2015,"G25S",144.855766233766
"71",17003,2015,"G50S",144.835688311688
"72",17003,2015,"G75S",144.749108225108
"73",17003,2017,"G",146.918861471861
"74",17003,2017,"G25S",146.915025974026
"75",17003,2017,"G50S",146.950194805195
"76",17003,2017,"G75S",146.923147186147
"77",17003,2019,"G",133.5689004329
"78",17003,2019,"G25S",133.48603030303
"79",17003,2019,"G50S",133.317281385281
"80",17003,2019,"G75S",133.120909090909
"81",17003,2021,"G",108.44641991342
